Sample_ID,Elk_ID,Date_MM_DD_YY,Easting,Northing,Pellets?,Hair?,Time_sample,Time_freezer,Temp_C,RH_Percent,Veg_community,Metres_nearest_pt_1,Metres_nearest_pt_2,Metres_nearest_pt_3,Time_nearest_pt_1,Time_nearest_pt_2,Time_nearest_pt_3,Cluster_date_MM_DD_YY,Beds_within_20m,Notes,Confidence,Rainfall(mm)
ERE19-20190531-07,E19,05-31-2019,675785,5446901,Yes,Yes,15:20,16:45,23.6,33.8,"Aspen , Oak, Chokecherry, Saskatoon ",6,8,9,17:00,12:00,16:30,05-30-2019,1,Low; Pellets ~3m from bed; could be either E28 (8m point) or E19 (6m and 9m point),Low,0
ERE28-20190531-08,E28,05-31-2019,675690,5446912,Yes,Yes,15:35,16:45,25.1,35.4,"Aspen, Oak, Ash, Hazel and Poppler",1,2,3,8:30,8:00,7:30,05-30-2019,0,"High; Pellets found on trail, 10 m from hair; hair found in likely bed, pellets may be older than 24hrs",High,0
ERE20-20190601-01,E20,06-01-2019,673860,5453764,Yes,No,13:30,17:30,22.1,36.3,"Aspen, Oak, Hazlenut saskatoon",1,2,3,15:30,13:30,13:00,05-31-2019,1,"High; found at the edge of open pasture; another bedsite with pellets a few metres away, individual could be either of the two",High,0
ERE20-20190601-02,E20,06-01-2019,673863,5453764,Yes,No,13:34,17:30,22.1,36.3,"Aspen, oak, Havel, Saskatoon, Bog birch",6.8,7.3,11,14:30,15:30,13:30,05-31-2019,1,"Very high; edge of treeline nest to open pasture; GPS had trouble locating exact point, sample #1 ~10 m from bed pellets. Both likely E20 ",Very high,0
ERE21-20190601-03,E21,06-01-2019,672117,5448444,No,Yes,0:00,,,,"Aspen, Dogwood, willow",1.5,4,9,16:00,16:30,15:30,05-31-2019,1,"High, Aspen forest canopy killed by fire and regenerating; saw this elk (E21) on its own in this area",High,0
ERE19-20190602-01,E19,06-02-2019,674174,5445582,Yes,No,11:01,14:05,19,42,Dry aspen-oak forest,10,10,36,10:00,10:30,9:30,06-01-2019,0,"High confidence; found on trail, likely on the path E19 would have taken into the area",High,0
ERE18-20190603-3,E18,06-03-2019,674790,5448521,Yes,No,12:05,16:40,21.8,40.5,Wet aspen with bog birch and balsam poplar,4,8,,15:30,12:30,,06-02-2019,1,"Unsure. 1 bed with hair, lots of elk in area ",Unsure,0
ERE21-20190603-1,E21,06-03-2019,672819,5448989,Yes,No,10:54,16:40,19.4,43.2,Wet aspen with Balsam poplar and red osher dogwood ,8,9,10,15:00,14:00,13:30,06-02-2019,1 (E21),High confidence One other bed in area but likley belongs to E21. No signs of other elk. Bed that likely belonged to E21 on point 5m away ,High,0
ERE18-20190603-2,E18,06-03-2019,674773,5448505,No,Yes,11:52,,,,"Edge of wet aspen forest, Bog birch, willow. ",3,5,5,13:30,13:00,14:00,06-02-2019,5,"Unsure, Many other elk in the area, sample was stuck to shrub above bed site that may belong to E18",Unsure,0
ERE32-20190603-5,E32,06-03-2019,674584,5449753,No,Yes,13:50,,,,"Shubby wet prairie with Aspen, bog birch, poplar, and shrubby cinquefoil",3.2,4,4,8:30,9:30,9:00,06-02-2019,5,Unsure. Area heavily used ,Unsure,0
ERE23-20190606-01,E23,06-06-2019,674286,5452143,No,Yes,9:00,,,,"Open aspen-oak forest, grazed",5,6,6,8:00,9:00,8:30,06-05-2019,0,Very high confidence,Very high,0
ERE23-20190606-02,E23,06-06-2019,674273,5452055,No,Yes,9:50,,,,"Open aspen-oak forest, grazed",6,8,10,19:00,10:30,18:30,06-05-2019,0,High confidence; found on shrub branches above bed,High,0
ERE16-20190606-05,E16,06-06-2019,677157,5449476,No,Yes,11:45,,,,Tall willow shrubland,1.5,4,5,3:00,2:30,2:00,06-06-2019,3,"High confidence. Tall willow at the edge of forest, with aspen, bog birch, etc.",High,0
ERE16-20190606-06,E16,06-06-2019,677153,5449459,Yes,No,11:49,13:30,27.9,41.2,Aspen forest with willow and bog birch,15,14.9,17,2:00,2:30,3:00,06-06-2019,3,"Low confidence, lots of other elk activity in the area. On elk trail heading into the forest",Low,0
ERE21-20190606-07,E21,06-06-2019,676384,5449323,No,Yes,12:17,,,,Cattail marsh with willow,17,18,15,17:30,15:30,16:30,06-06-2019,3,On tree along trail,Unsure,0
ERE16-20190608-01,E16,06-08-2019,676016,5447512,Yes,No,11:30,14:08,24,69,Shrubby wet prairie,,,,,,,06-08-2019,1,"Found along trail to field. Wet prairie with willow, poplar, meadowsweet, shrubby cinquefoil, bog birch. Not near a cluster, but E16 was alone in the area and walked this trail to the field to the north. Sample was recent, probably within a few hours.",Very high,30
ERE20-20190609-02,E20,06-09-2019,673608,5456815,Yes,No,11:26,14:21,21.6,53,Tall grazed willow shrubland with introduced species,10,10,11,14:30,15:00,16:00,06-08-2019,1,"Only one other bed in area, and doesn't look like many elk were in the group. Sample very fresh, may have been from early on June 9",High,20
ERE20-20190609-03,E20,06-09-2019,673613,5456823,Yes,No,11:35,14:21,21.6,53,Tall grazed willow shrubland with introduced species,6,8,9,15:30,16:30,15:00,06-08-2019,1,"Smaller pellets, could have come from a calf. Found in the same area as ERE20's pellets from same day",High,20
ERE15-20190609-04,E15,06-09-2019,671356,5448250,Yes,No,13:52,14:21,20.5,51.4,Aspen oak forest with grey dogwood and willow in understory,4,5,15,12:30,21:00,13:00,06-08-2019,1,"Found under shrub in the area where cow and calf have been for several days. Bedding area present approximately 1 m south, but no distinct beds",Very high,20
ERE19-20190611-01,E19,06-11-2019,675526,5448163,Yes,No,7:53,9:45,14,68,Edge of aspen forest next to cultivated field. Willow patch with sparse aspen. ,32,,,12:30,,,06-11-2019,2,"Saw the collared female (E19) in the area with another uncollared female. The sample is on a trail fairly distant from any of her recent points, but likely either belongs to her or another uncollared female we saw in the area. Weather was taken from internet.",Unsure,0
ERE28-20190614-01,E28,06-14-2019,674165,5450183,No,Yes,12:30,,,,"Thick, young aspen forest with willow",3,3,5,14:30,13:00,15:00,06-13-2019,1,High confidence. Found in the area where the collared female has been bedding with her calf,High,0
ERE21-20190614-02,E21,06-14-2019,674259,5450192,Yes,No,12:48,19:38,25.7,52.4,Dense aspen-oak forest ,14,19,18,22:00,21:30,22:30,06-13-2019,0,High confidence. Found on trail through aspen-oak forest with no other elk apparently in the area at time of sample.,High,0
ERE25-20190614-03,E25,06-14-2019,680467,5471194,Yes,No,14:55,19:38,29.8,44.3,"Aspen-oak forest with mature aspen and poplar, hazelnut, willow",11,11.2,13,11:30,16:00,15:30,06-13-2019,5,"Unsure. There are many beds in the area, but all could be from the same elk since she has been visiting the area for weeks.",Unsure,0
ERE27-20190616-01,E27,06-16-2019,678846,5437611,Yes,No,12:53,17:10,19.9,50.0,"Aspen, balsam popler, willow, dogwood",7,11,15,10:00,10:30,9:00,06-15-2019,1,"Found on trail, rain had fallen the night previous.",High,3
ERE23-20190616-02,E23,06-16-2019,675641,5451436,No,Yes,15:05,,,,"Willow, aspen, balsam popler, bog birch, dogwood, gooseberry",1,1,2,11:00,10:00,12:00,06-15-2019,3,Very high; willow wetalnd with tall shrubs; in cattle pasture; heavily grazed; hair found on tree above bed probably from ERE23.,Very high,0
ERE23-20190616-03,E23,06-16-2019,675578,5451354,Yes,no,15:03,17:10,16.8,51.6,"willow, bog birch, rose",55.7,58.9,70.8,14:00,14:30,13:00,06-15-2019,0,Unsure; found along trail far from nearest points but seen to be along the path travelled by ERE23,Unsure,0
ERE32-20190619-01,E32,06-19-2019,675387,5449680,No,Yes,10:21,,,,"Aspen-oak forest with high canopy cover, saskatoon, hazelnut, downy arrowood, chokecherry in understory",9,15,15,11:30,12:00,13:00,06-18-2019,2,,Very high,0
ERE18-20190619-02,E18,06-19-2019,675427,5449161,Yes,No,11:03,13:55,24.9,46.2,Aspen-oak forest with yound aspen in canopy and hazelnut and oak in the shrub layer,4,5,3,9:30,11:00,12:30,06-18-2019,2,"Approximately 2 m from each bed, on a trail going to one of them. Some other elk in the area but she spent time bedding at this location.",High,0
ERE25-20190619-03,E25,06-19-2019,680639,5470863,Yes,No,13:03,13:55,24.9,35.7,"Edge of wet aspen forest with willow, wild rose, downy arrowood in understory",5.4,11.4,15.1,4:30,4:00,3:00,06-19-2019,3,Found along trail in area where at least one elk has been bedding. Unclear whether there are more elk she is traveling with in the area.,High,0
ERE27-20190620-01,E27,06-20-2019,678906,5437707,Yes,No,10:18,14:17,23.9,47,"Open wet aspen forest with flooding, borders willow swamp, aspen and balsam poplar in canopy",5,25,26,16:30,16:00,19:00,06-19-2019,0,Not near any bed sites but clear trail where she walked out of the area around 16:30 on June 19,High,0
ERE27-20190620-02,E27,06-20-2019,678871,5437711,Yes,No,10:28,14:17,23.9,47,"Wet aspen forest with balsam poplar, meadowsweet, red-osier dogwood, wild rose",1,2,3,14:00,14:30,15:30,06-19-2019,0,"Found along trail in foraging area, middle of a cluster where she spent most of the day. Well-traveled area but no signs of other elk",Very high,0
ERE32-20190620-03,E32,06-20-2019,674822,5448582,Yes,No,12:00,14:17,30,41.2,"Disturbed wet aspen forest with low shrub cover and introduced grasses in understory, balsam poplar and red-osier dogwood",1.9,2.1,1.9,12:30,13:00,12:00,06-19-2019,3,"Sample near bedding area but not in bed. A number of other elk are bedding in the area, including E15, E28, E29, E18, and E23)",High,0
ERE29-20190621-02,E29,06-21-2019,675527,5450203,Yes,No,14:01,16:50,25,44.2,"Encroached wet prairie, Aspen, shrubby cinquefoil, bog birch ",22.6,23,24.8,8:30,9:00,9:30,06-20-2019,2,"Unsure, sample relatively far from latest cluster, but GPS cut out the day before. She is travelling with several other elk. ",Unsure,0
ERE20-20190621-03,E20,06-21-2019,672545,5461633,Yes,No,15:23,16:50,25.8,43.1,"Weed field probably burned recently with slash piles. (Aspen, Canada golden red, zizia aptera, cirsium arvense",25,38,58,1:00,2:00,3:00,06-21-2019,0,"Very high confidence, E20 has been in the area alone with her calf for about 1 week. Sample found in travelling/ foraging area.",Very high,0
